pid,gender,age,education,employment,income,car_own,moto_own,cycle_own,escoot_own,bike_frequency,escooter_frequency,PT_frequency,metro_frequency,young
100,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1
101,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1
102,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1
103,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1
104,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0
105,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0
106,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1
107,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0
108,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1
109,1.0,1.0,3.0,1.0,0.0,1,0,0,0,0.0,0.0,1.0,4.0,1
110,1.0,1.0,4.0,3.0,4.0,1,1,0,0,0.0,0.0,3.0,3.0,1
111,1.0,1.0,2.0,3.0,,1,0,0,0,,,0.0,0.0,1
112,1.0,1.0,2.0,3.0,1.0,1,1,1,0,,,,1.0,1
113,0.0,4.0,3.0,3.0,2.0,0,0,0,0,2.0,,0.0,1.0,0
114,0.0,4.0,4.0,0.0,3.0,1,0,1,0,0.0,0.0,0.0,2.0,0
115,0.0,2.0,4.0,3.0,2.0,0,0,0,0,0.0,0.0,3.0,4.0,0
116,1.0,4.0,3.0,3.0,4.0,1,0,1,0,2.0,0.0,0.0,1.0,0
117,1.0,1.0,3.0,3.0,2.0,1,0,1,0,0.0,0.0,1.0,1.0,1
118,1.0,2.0,4.0,3.0,2.0,1,0,1,0,2.0,2.0,1.0,1.0,0
119,0.0,1.0,4.0,3.0,2.0,1,0,1,0,3.0,0.0,2.0,2.0,1
120,0.0,1.0,3.0,3.0,2.0,1,0,0,0,0.0,0.0,1.0,1.0,1
121,0.0,1.0,4.0,1.0,0.0,1,0,0,0,0.0,0.0,1.0,2.0,1
122,0.0,4.0,3.0,3.0,,1,0,0,0,0.0,0.0,1.0,2.0,0
123,1.0,5.0,3.0,0.0,,1,0,0,0,0.0,0.0,1.0,2.0,0
124,0.0,1.0,4.0,3.0,2.0,1,0,0,0,0.0,0.0,0.0,1.0,1
125,1.0,2.0,4.0,3.0,3.0,1,0,1,0,1.0,0.0,0.0,0.0,0
126,1.0,4.0,3.0,3.0,3.0,1,1,1,0,1.0,0.0,1.0,1.0,0
127,1.0,1.0,3.0,1.0,1.0,1,0,0,0,1.0,1.0,2.0,3.0,1
128,1.0,2.0,4.0,3.0,2.0,1,0,0,0,1.0,0.0,1.0,1.0,0
129,0.0,2.0,4.0,3.0,2.0,1,0,0,0,0.0,0.0,1.0,1.0,0
130,0.0,2.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0
131,0.0,1.0,2.0,1.0,1.0,1,1,1,0,0.0,0.0,4.0,4.0,1
132,0.0,1.0,3.0,3.0,1.0,1,0,1,0,0.0,0.0,4.0,4.0,1
133,0.0,1.0,4.0,3.0,2.0,1,0,0,0,0.0,0.0,3.0,3.0,1
134,1.0,2.0,3.0,3.0,2.0,1,0,0,0,0.0,0.0,2.0,2.0,0
135,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,4.0,4.0,1
136,0.0,1.0,3.0,1.0,1.0,1,0,1,0,0.0,0.0,4.0,4.0,1
137,0.0,1.0,4.0,3.0,2.0,1,0,0,0,0.0,0.0,,1.0,1
138,1.0,2.0,3.0,3.0,2.0,1,0,1,0,2.0,1.0,0.0,2.0,0
139,1.0,1.0,3.0,1.0,1.0,1,0,0,0,,,,1.0,1
140,1.0,2.0,4.0,3.0,3.0,1,0,1,1,2.0,2.0,4.0,3.0,0
141,1.0,1.0,4.0,3.0,2.0,1,0,0,0,1.0,,2.0,3.0,1
200,0.0,1.0,3.0,1.0,0.0,1,0,1,1,0.0,1.0,1.0,1.0,1
201,1.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,,1.0,2.0,1
202,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,1.0,1.0,1
203,0.0,1.0,4.0,3.0,2.0,1,0,0,0,0.0,0.0,0.0,1.0,1
204,0.0,1.0,4.0,1.0,2.0,1,0,1,0,3.0,0.0,3.0,2.0,1
205,1.0,1.0,4.0,3.0,2.0,1,0,0,0,0.0,0.0,2.0,3.0,1
206,0.0,1.0,4.0,3.0,2.0,1,0,0,0,0.0,0.0,2.0,2.0,1
207,1.0,1.0,3.0,1.0,1.0,1,0,1,0,1.0,0.0,2.0,2.0,1
208,0.0,1.0,3.0,2.0,1.0,1,1,1,0,1.0,0.0,3.0,3.0,1
209,0.0,1.0,3.0,3.0,2.0,1,0,1,0,2.0,0.0,2.0,4.0,1
210,0.0,1.0,3.0,1.0,0.0,1,1,0,0,,,2.0,4.0,1
211,0.0,1.0,3.0,1.0,2.0,0,0,1,0,1.0,0.0,1.0,1.0,1
212,1.0,4.0,3.0,3.0,4.0,1,0,1,0,1.0,0.0,0.0,1.0,0
213,0.0,4.0,3.0,3.0,4.0,1,0,1,0,0.0,0.0,0.0,0.0,0
214,0.0,1.0,4.0,3.0,2.0,1,1,1,0,1.0,,1.0,1.0,1
215,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1
216,0.0,1.0,3.0,3.0,1.0,1,0,0,0,,,3.0,3.0,1
217,1.0,1.0,3.0,1.0,1.0,1,0,1,0,1.0,0.0,3.0,4.0,1
218,1.0,1.0,3.0,1.0,1.0,1,1,1,0,1.0,,0.0,1.0,1
219,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,1.0,1.0,1
220,0.0,1.0,3.0,1.0,0.0,1,0,0,0,1.0,0.0,2.0,2.0,1
221,0.0,1.0,3.0,1.0,1.0,1,0,0,0,0.0,0.0,2.0,3.0,1
222,1.0,1.0,3.0,1.0,0.0,1,0,1,0,0.0,,,,1
223,1.0,2.0,4.0,3.0,3.0,1,0,0,0,0.0,0.0,0.0,2.0,0
224,1.0,1.0,4.0,3.0,2.0,1,0,1,0,0.0,0.0,0.0,1.0,1
225,0.0,1.0,3.0,3.0,2.0,1,0,1,0,0.0,0.0,3.0,3.0,1
226,1.0,4.0,4.0,0.0,,1,1,0,0,0.0,0.0,1.0,2.0,0
227,1.0,2.0,4.0,3.0,2.0,1,1,0,0,0.0,0.0,1.0,1.0,0
228,1.0,2.0,3.0,3.0,2.0,1,1,0,0,1.0,0.0,0.0,1.0,0
229,1.0,1.0,3.0,3.0,2.0,1,0,1,0,2.0,0.0,2.0,4.0,1
230,1.0,1.0,4.0,1.0,2.0,1,0,1,0,1.0,0.0,2.0,2.0,1
231,0.0,1.0,3.0,1.0,0.0,1,0,1,0,0.0,0.0,4.0,4.0,1
232,1.0,1.0,3.0,1.0,1.0,1,0,0,0,,,,1.0,1
233,1.0,2.0,3.0,3.0,2.0,1,0,1,1,2.0,2.0,0.0,1.0,0
234,1.0,2.0,4.0,3.0,2.0,1,1,1,1,2.0,2.0,1.0,2.0,0
235,1.0,4.0,4.0,3.0,4.0,1,0,0,0,0.0,0.0,0.0,1.0,0
236,1.0,1.0,3.0,1.0,1.0,1,0,0,0,,,,1.0,1
237,0.0,4.0,3.0,3.0,3.0,1,1,0,0,0.0,0.0,0.0,1.0,0
238,0.0,2.0,3.0,2.0,0.0,1,0,1,0,2.0,1.0,2.0,3.0,0
239,0.0,2.0,3.0,3.0,1.0,1,0,0,0,,,,1.0,0
240,1.0,3.0,3.0,3.0,3.0,1,0,1,0,1.0,0.0,4.0,3.0,0
300,0.0,,,,,0,0,0,0,,,,,0
301,1.0,1.0,4.0,3.0,2.0,1,0,1,1,3.0,2.0,4.0,4.0,1
302,0.0,1.0,4.0,1.0,2.0,0,0,1,0,0.0,0.0,4.0,4.0,1
303,0.0,1.0,4.0,3.0,2.0,1,0,1,0,0.0,0.0,2.0,2.0,1
304,1.0,2.0,4.0,3.0,3.0,1,0,1,0,1.0,1.0,2.0,4.0,0
305,0.0,2.0,4.0,3.0,2.0,1,1,1,0,1.0,,1.0,1.0,0
306,0.0,1.0,4.0,3.0,2.0,1,0,0,0,,,2.0,4.0,1
307,0.0,1.0,4.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1
308,1.0,1.0,4.0,3.0,2.0,1,0,1,0,,,,3.0,1
309,1.0,2.0,4.0,3.0,3.0,1,0,1,0,,,,4.0,0
310,0.0,1.0,4.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,1
311,0.0,1.0,3.0,1.0,0.0,1,0,1,0,0.0,0.0,1.0,1.0,1
312,1.0,1.0,3.0,1.0,1.0,1,1,0,0,,,,1.0,1
313,1.0,1.0,4.0,3.0,2.0,1,0,1,1,2.0,2.0,4.0,4.0,1
314,1.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,,3.0,3.0,1
315,0.0,1.0,3.0,1.0,0.0,1,1,1,0,1.0,0.0,2.0,3.0,1
316,0.0,1.0,3.0,1.0,1.0,1,0,0,0,0.0,0.0,3.0,3.0,1
317,0.0,1.0,3.0,1.0,,1,0,0,0,0.0,0.0,2.0,2.0,1
318,1.0,1.0,3.0,1.0,0.0,1,0,0,0,,,1.0,2.0,1
319,0.0,1.0,3.0,1.0,1.0,1,0,1,0,0.0,0.0,3.0,3.0,1
320,0.0,1.0,4.0,1.0,0.0,1,0,0,0,,0.0,4.0,4.0,1
321,0.0,1.0,3.0,1.0,,1,0,0,0,0.0,0.0,1.0,2.0,1
322,0.0,1.0,3.0,3.0,1.0,1,0,0,0,,,4.0,4.0,1
323,1.0,1.0,3.0,1.0,0.0,1,1,1,0,0.0,0.0,2.0,1.0,1
324,1.0,1.0,3.0,1.0,1.0,1,1,1,0,0.0,0.0,1.0,1.0,1
325,0.0,1.0,4.0,3.0,1.0,1,0,0,0,1.0,0.0,3.0,,1
326,0.0,1.0,3.0,3.0,1.0,1,0,1,0,0.0,0.0,1.0,1.0,1
327,0.0,1.0,3.0,3.0,2.0,1,1,1,0,,,2.0,2.0,1
328,1.0,1.0,4.0,3.0,1.0,1,0,1,1,1.0,1.0,0.0,1.0,1
329,0.0,1.0,4.0,1.0,0.0,1,0,0,0,,1.0,1.0,2.0,1
330,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1
331,1.0,1.0,3.0,1.0,2.0,1,0,1,0,1.0,0.0,3.0,3.0,1
332,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,0.0,3.0,3.0,1
333,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,0.0,1.0,2.0,1
334,1.0,1.0,4.0,3.0,2.0,1,1,1,0,1.0,1.0,1.0,2.0,1
335,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1
336,0.0,1.0,3.0,1.0,1.0,1,0,0,0,1.0,0.0,0.0,2.0,1
337,1.0,1.0,3.0,3.0,2.0,1,0,1,0,1.0,,1.0,2.0,1
338,1.0,1.0,4.0,3.0,2.0,1,1,1,0,1.0,,,2.0,1
339,1.0,1.0,3.0,1.0,2.0,1,0,0,0,1.0,0.0,4.0,4.0,1
340,0.0,1.0,3.0,3.0,1.0,1,0,1,0,0.0,0.0,1.0,1.0,1
341,0.0,4.0,3.0,3.0,,1,0,0,0,0.0,0.0,1.0,2.0,0
342,0.0,2.0,4.0,3.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0
343,1.0,5.0,3.0,0.0,,1,0,0,0,0.0,0.0,1.0,3.0,0
344,0.0,1.0,3.0,3.0,2.0,1,1,0,0,0.0,,1.0,1.0,1
345,1.0,1.0,3.0,3.0,2.0,1,0,1,0,0.0,0.0,2.0,2.0,1
